AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Alandur,28,GEN,Kancheepuram,T.M.Anbarasan,Dravida Munetra Kazhagam,363029,235863,65.0 %,40571,17.2%
Alangudi,182,GEN,Pudukkottai,Siva.V.Meyyanathan,Dravida Munetra Kazhagam,203445,171140,84.1 %,25847,15.1%
Alangulam,223,GEN,Tirunelveli,Paul Manoj Pandian,All India Anna Dravida Munnetra Kazhagam,252558,201692,79.9 %,3539,1.8%
Ambasamudram,225,GEN,Tirunelveli,E.Subaya,All India Anna Dravida Munnetra Kazhagam,242456,176008,72.6 %,16915,9.6%
Ambattur,8,GEN,Thiruvallur,Joseph Samuel,Dravida Munetra Kazhagam,361656,237941,65.8 %,42146,17.7%
Ambur,48,GEN,Vellore,Vilwanathan.A.C,Dravida Munetra Kazhagam,225328,176461,78.3 %,20232,11.5%
Anaikattu,44,GEN,Vellore,A.P.Nandakumar,Dravida Munetra Kazhagam,241068,196014,81.3 %,6360,3.2%
Andipatti,198,GEN,Theni,A.Maharajan,Dravida Munetra Kazhagam,264498,208207,78.7 %,8538,4.1%
Anna Nagar,21,GEN,Chennai,M.K. Mohan,Dravida Munetra Kazhagam,274067,163551,59.7 %,27445,16.8%
Anthiyur,105,GEN,Erode,Venkatachalam.A.G,Dravida Munetra Kazhagam,213651,175358,82.1 %,1275,0.7%
Arakkonam,38,SC,Vellore,S.Ravi,All India Anna Dravida Munnetra Kazhagam,216909,169756,78.3 %,27169,16.0%
Arani,67,GEN,Tiruvannamalai,S.Ramachandran,All India Anna Dravida Munnetra Kazhagam,264335,219732,83.1 %,3128,1.4%
Aranthangi,183,GEN,Pudukkottai,Ramachandran T,Indian National Congress,222766,167524,75.2 %,30893,18.4%
Aravakurichi,134,GEN,Karur,Elango. R,Dravida Munetra Kazhagam,205295,176245,85.8 %,24816,14.1%
Arcot,42,GEN,Vellore,J.L.Eswarappan,Dravida Munetra Kazhagam,251362,207538,82.6 %,19958,9.6%
Ariyalur,149,GEN,Perambalur,Chinnappa K,Dravida Munetra Kazhagam,254281,223839,88.0 %,3234,1.4%
Aruppukkottai,207,GEN,Virudhunagar,K.K.S.S.R.Ramachandran,Dravida Munetra Kazhagam,214554,169878,79.2 %,39034,23.0%
Athoor,129,GEN,Dindigul,Periyasamy I,Dravida Munetra Kazhagam,279399,228376,81.7 %,135571,59.4%
Attur,82,SC,Salem,Jayasankaran A.P.,All India Anna Dravida Munnetra Kazhagam,243631,197909,81.2 %,8257,4.2%
Avadi,6,GEN,Thiruvallur,Nasar S M,Dravida Munetra Kazhagam,409701,298546,72.9 %,55275,18.5%
Avanashi,112,SC,Coimbatore,Dhanapal P,All India Anna Dravida Munnetra Kazhagam,265952,210255,79.1 %,50902,24.2%
Bargur,52,GEN,Krishnagiri,Mathiazhagan D,Dravida Munetra Kazhagam,238180,196277,82.4 %,12614,6.4%
Bhavani,104,GEN,Erode,Karuppanan.K.C,All India Anna Dravida Munnetra Kazhagam,234551,199306,85.0 %,22523,11.3%
Bhavanisagar,107,SC,Erode,A.Bannari,All India Anna Dravida Munnetra Kazhagam,248797,198562,79.8 %,16008,8.1%
